verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link
true,Barack Obama,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",6/11/2008,speech,https://www.politifact.com/factchecks/2008/jun/16/barack-obama/no-exemptions-for-debtors/
false,Matt Gaetz,"""Bennie Thompson actively cheer-led riots in the ’90s.""",6/7/2022,television,https://www.politifact.com/factchecks/2022/jun/13/matt-gaetz/gaetz-mischaracterizes-bennie-thompsons-stance-rio/
mostly-true,Kelly Ayotte,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",5/18/2016,news,https://www.politifact.com/factchecks/2016/may/27/kelly-ayotte/how-much-has-maggie-hassan-been-out-new-hampshire-/
half-true,Bobby Jindal,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",8/30/2015,television,https://www.politifact.com/factchecks/2015/aug/30/bobby-jindal/bobby-jindal-im-only-candidate-has-actually-reduce/
false,Michele Bachmann,"""My husband and I have never gotten a penny of money from the farm.""",6/26/2011,news,https://www.politifact.com/factchecks/2011/jul/01/michele-bachmann/rep-michele-bachmann-says-shes-never-received-penn/
true,George Turner,"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes.""",4/4/2011,news,https://www.politifact.com/factchecks/2011/apr/18/george-turner/atlanta-police-chief-says-despite-fears-crime-down/
mostly-true,Kent Conrad,"""The American people say, don't touch Social Security, don't touch Medicare, don't cut defense. That's 84 percent of the federal budget.""",1/23/2011,other,https://www.politifact.com/factchecks/2011/jan/27/kent-conrad/kent-conrad-said-84-percent-budget-social-security/
true,Mandela Barnes,"""Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.""",5/23/2021,social_media,https://www.politifact.com/factchecks/2021/jun/02/mandela-barnes/yes-pay-ceos-has-far-outpaced-compensation-average/
pants-fire,Chris Telfer,"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending.""",3/6/2012,news,https://www.politifact.com/factchecks/2012/mar/14/chris-telfer/can-chris-telfer-claim-credit-budget-re-balance-cl/
false,Carlos Beruff,"Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""",5/5/2016,news,https://www.politifact.com/factchecks/2016/may/11/carlos-beruff/deal-allows-iran-produce-nuclear-weapon-us-senate-/
mostly-true,Hillary Clinton,"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",6/2/2016,speech,https://www.politifact.com/factchecks/2016/jun/03/hillary-clinton/yes-donald-trump-did-call-climate-change-chinese-h/
false,Sidney Powell,"""At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate.""",11/8/2020,news,https://www.politifact.com/factchecks/2020/nov/20/sidney-powell/sidney-powell-claim-450000-votes-were-only-biden-k/
mostly-true,Stephen Carter,"""More than 70 percent of American adults have committed a crime that could lead to imprisonment.""",12/4/2014,news,https://www.politifact.com/factchecks/2014/dec/08/stephen-carter/watch-out-70-us-have-done-something-could-put-us-j/
mostly-false,Bob Buckhorn,"Tampa Bay is ""leading the state in jobs creation.""",1/15/2015,campaign,https://www.politifact.com/factchecks/2015/jan/15/bob-buckhorn/tampa-bay-area-leads-florida-job-creation-buckhorn/
mostly-false,Kelly Loeffler,"Says Raphael Warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""",12/9/2020,news,https://www.politifact.com/factchecks/2020/dec/18/kelly-loeffler/ga-race-kelly-loeffler-distorts-raphael-warnocks-s/
