verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link,llama_verdict,llama_reason,party,topic,average_views
half-true,Adam Hasner,"While she was mayor, Lois Frankel took a ""police helicopter ride to go to a dinner party.""",10/18/2012,advertisement,https://www.politifact.com/factchecks/2012/oct/25/adam-hasner/adam-hasner-says-lois-frankel-used-police-chopper-/,half true,"After conducting research, I found that Lois Frankel, the mayor of West Palm Beach at the time, did take a police helicopter to a dinner party in 2011. However, it was not a joyride, but rather a legitimate use of city resources to attend a law enforcement-related event. The helicopter ride was also reportedly paid for by a private donor, not the city.

Considering the statement's recorded date of 10/18/2012, and the facts I uncovered, I would label the statement as:

half true

The statement is partially accurate in that Lois Frankel did take a police helicopter to a dinner party, but it omits important details, such as the legitimate purpose of the event and the fact that the ride was paid for by a private donor, which gives a different impression of the situation. 

Note: The statement's recorded date is after the event occurred, which suggests that the speaker had access to this information and chose to present it in a misleading way",R,transparency,100-500
half-true,Alan Grayson,"Says Gov. Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale.""",8/06/2012,campaign,https://www.politifact.com/factchecks/2012/aug/06/alan-grayson/grayson-says-jeb-bush-vetoed-quinones-plan/,FALSE,"Do not add any additional text. 
false.",D,economy,100-500
mostly-false,Allen West,"""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia.""",10/20/2014,social_media,https://www.politifact.com/factchecks/2014/oct/23/allen-west/do-us-troops-get-just-4-hours-ebola-training/,FALSE,"Do not add any additional text. 
false.",R,health,10000-50000
mostly-true,Amy Klobuchar,"""After a decade of progress, the rate of uninsured children is now rising.""",12/03/2018,social_media,https://www.politifact.com/factchecks/2018/dec/05/amy-klobuchar/amy-klobuchar-number-rate-children-without-insuran/,half true,"Do not add any additional text. 
half true",D,health,50000-100000
TRUE,Ann Coulter,"Rhode Islands voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",9/27/2012,television,https://www.politifact.com/factchecks/2012/oct/03/ann-coulter/ann-coulter-says-rhode-islands-voter-identificatio/,half true,"Label the statement: half true. 

The statement that ""Rhode Island's voter identification law was pushed by 'a black Democrat in the House, a black Democrat in the Senate'"" is labeled as half true because, while it is accurate that the law was supported by Democrats, including those from the African American community, the statement simplifies the broader context and support for the law. The law was indeed championed by Democratic lawmakers, including Representative Anastasia Williams and Senator Harold Metts, both of whom are African American. However, the statement omits the fact that the law had broader support and was part of a national trend towards voter ID laws, which were being considered or implemented in many states around the same time. Additionally, the statement does not provide context on the debates, discussions, and negotiations that occurred within the Rhode Island legislature, which involved various stakeholders and perspectives. Therefore, while the core claim about the involvement of African American Democrats is true, the statement lacks important details and context,",N,race,50000-100000
mostly-true,Barack Obama,"Barack Obama is ""the only candidate who doesn't take a dime from oil company PACs or lobbyists.""",4/16/2008,advertisement,https://www.politifact.com/factchecks/2008/apr/17/barack-obama/obama-rejects-lobbyist-money/,half true,"Do not add any additional text. 
half true.",D,environment,>100000
FALSE,Barack Obama,"Under the White Houses budget proposal, ""we will not be adding more to the national debt"" by the middle of the decade.",2/15/2011,news,https://www.politifact.com/factchecks/2011/feb/15/barack-obama/barack-obama-says-white-house-budget-would-not-add/,FALSE,"Based on the information available up to 02/15/2011, the statement is: false.",D,economy,>100000
half-true,Barack Obama,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s.""",5/07/2009,speech,https://www.politifact.com/factchecks/2009/may/07/barack-obama/obama-exaggerates-role-pay-you-go-balancing-federa/,half true,"Do not add any explanation to your answer. 
half true",D,economy,>100000
mostly-false,Barack Obama,"Says economists Harvey Rosen and Martin Feldstein have said that ""paying for (Mitt) Romneys tax cuts would require large tax increases on families making between $100,000 and $200,000.""",10/07/2012,email,https://www.politifact.com/factchecks/2012/oct/15/barack-obama/barack-obama-says-princeton-economists-analysis-do/,half true,"Do not add any additional text. 
half true",D,economy,>100000
half-true,Barack Obama,"""Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/obama-claims-two-million-more-americans-would-be-u/,half true,"Do not add any additional text. 
half true",D,economy,>100000
mostly-true,Barack Obama,"""For the first time in history, my administration posts our White House visitors online.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/white-house-visitor-logs-voluntarily-released-pote/,FALSE,The statement is: false.,D,transparency,>100000
TRUE,Barack Obama,"""Mitt Romney says class sizes dont matter.""",8/22/2012,campaign,https://www.politifact.com/factchecks/2012/aug/23/barack-obama/obama-ad-says-class-sizes-dont-matter-romney/,half true,"Do not add any additional text. 
half true",D,economy,>100000
mostly-false,Barack Obama,"Keystone XL allows ""Canada to pump their oil, send it through our land, down to the Gulf, where it will be sold everywhere else.""",11/14/2014,news,https://www.politifact.com/factchecks/2014/nov/20/barack-obama/obama-says-keystone-xl-exporting-oil-experts-disag/,mostly true,"Label the statement as: mostly true. 

The statement that ""Keystone XL allows Canada to pump their oil, send it through our land, down to the Gulf, where it will be sold everywhere else"" is mostly true. The Keystone XL pipeline is indeed designed to transport oil from Canada to the Gulf of Mexico, where it can be refined and potentially exported. However, the statement could be clarified by noting that some of the oil may also be used domestically in the United States. Additionally, the pipeline's impact on oil exports and its potential effects on the environment and local communities are subjects of ongoing debate and controversy. 

Therefore, the statement is labeled as: mostly true. 

Note: The statement's date (11/14/2014) is considered in the evaluation, but it does not significantly affect the assessment of the statement's truthfulness in this case. 

The final answer is: $\boxed{mostly true}$",D,economy,>100000
half-true,Barack Obama,"""Our economy could fall $1 trillion short of its full capacity, which translates into more than $12,000 in lost income for a family of four.""",1/24/2009,radio,https://www.politifact.com/factchecks/2009/jan/26/barack-obama/obama-numbers-income-explanation/,half true,"Do not add any additional text. 
half true",D,economy,>100000
TRUE,Barack Obama,"Says ""our deficits are falling at the fastest rate in 60 years.""",7/24/2013,speech,https://www.politifact.com/factchecks/2013/jul/25/barack-obama/obama-says-deficit-falling-fastest-rate-60-years/,half true,"Do not add any additional text. 
half true",D,economy,>100000
FALSE,Barack Obama,"""Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law.""",11/01/2011,news,https://www.politifact.com/factchecks/2011/nov/03/barack-obama/obama-says-health-law-will-kick-millions-next-year/,half true,"Do not add any additional text. 
half true",D,health,>100000
half-true,Barack Obama,"Obama says his bill ""reduced welfare rolls nearly 80 percent.""",6/30/2008,advertisement,https://www.politifact.com/factchecks/2008/jun/30/barack-obama/welfare-rolls-dropped-but-not-just-because-of-law/,half true,"After analyzing the statement, I would label it as: half true. 

The statement that Obama's bill ""reduced welfare rolls nearly 80 percent"" requires context for a full understanding. The Personal Responsibility and Work Opportunity Reconciliation Act of 1996, which was a bipartisan effort and not solely Obama's bill, is often credited with significant reductions in welfare rolls. This act introduced work requirements and time limits for welfare recipients, leading to a substantial decrease in the number of people on welfare. However, attributing this reduction to Obama, especially in the context of 2008, might be misleading because the major welfare reform legislation was passed before Obama's presidency and significant involvement in federal legislation. Therefore, while there was a significant reduction in welfare rolls, attributing it directly to Obama's bill without specifying which bill or considering the broader context of welfare reform in the 1990s could be seen as partially accurate but lacking in important details. 

Note: The analysis provided is based on general",D,economy,>100000
FALSE,Barack Obama,"""We import more oil today than ever before.""",7/06/2009,news,https://www.politifact.com/factchecks/2009/jul/08/barack-obama/obamas-wrong-oil-imports/,FALSE,"Do not add any additional text. 
false.",D,economy,>100000
TRUE,Barack Obama,"""The NRA used to support expanded background checks.""",4/17/2013,speech,https://www.politifact.com/factchecks/2013/apr/18/barack-obama/barack-obama-says-nra-used-support-expanded-backgr/,half true,"Do not add any additional text. 
half true",D,transparency,>100000
FALSE,Barack Obama,"""I made a bunch of these promises during the campaign. ... We've got about 60 percent done in three years.""",10/25/2011,speech,https://www.politifact.com/factchecks/2011/nov/01/barack-obama/barack-obama-says-60-percent-his-promises-are-done/,FALSE,"Do not add any additional text. 
false.",D,transparency,>100000
TRUE,Barack Obama,Says Romney wants to add $2 trillion to the defense budget that the military hasnt asked for.,10/03/2012,speech,https://www.politifact.com/factchecks/2012/oct/05/barack-obama/obama-says-romney-would-spend-2-trilllion-military/,mostly true,"Based on the information available up to 10/3/2012, the statement is: mostly true. 
The best answer is mostly true.",D,war,>100000
