verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link,mistral_verdict,mistral_reason,party,topic,average_views
half-true,Adam Hasner,"While she was mayor, Lois Frankel took a ""police helicopter ride to go to a dinner party.""",10/18/2012,advertisement,https://www.politifact.com/factchecks/2012/oct/25/adam-hasner/adam-hasner-says-lois-frankel-used-police-chopper-/,mostly false,"Based on available information, this statement is mostly false. While Lois Frankel did take a police helicopter ride during her tenure as mayor of West Palm Beach, Florida, the circumstances surrounding the ride were not for the purpose of attending a dinner party. Instead, she took the ride to assess damage caused by Hurricane Wilma in 2005. The misconception likely arose due to the lack of context and specificity in the original statement.",R,transparency,100-500
half-true,Alan Grayson,"Says Gov. Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale.""",8/06/2012,campaign,https://www.politifact.com/factchecks/2012/aug/06/alan-grayson/grayson-says-jeb-bush-vetoed-quinones-plan/,mostly false,"Based on available information, the statement is mostly false. While it is true that Jeb Bush vetoed the ""Quiones Plan"" in 1999, the reason for the veto was not because it was ""taxation without representation on a large scale."" Instead, the plan was vetoed due to concerns about its cost and potential impact on the state budget. The misconception may have arisen from political rhetoric surrounding the veto, but the statement as written is not accurate.",D,economy,100-500
mostly-false,Allen West,"""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia.""",10/20/2014,social_media,https://www.politifact.com/factchecks/2014/oct/23/allen-west/do-us-troops-get-just-4-hours-ebola-training/,mostly false,"Based on available information, this statement is mostly false. While it is true that some U.S. troops were reported to have received only 4 hours of training before deployment to Liberia, this was not the case for all troops. The Centers for Disease Control and Prevention (CDC) provided more comprehensive training to some troops before they left for Liberia. The statement's broad brush approach misleads by implying that all U.S. troops received only 4 hours of training, which is not the case.",R,health,10000-50000
mostly-true,Amy Klobuchar,"""After a decade of progress, the rate of uninsured children is now rising.""",12/03/2018,social_media,https://www.politifact.com/factchecks/2018/dec/05/amy-klobuchar/amy-klobuchar-number-rate-children-without-insuran/,mostly false,"Based on the available information, the statement is mostly false. According to data from the National Health Interview Survey, the percentage of children without health insurance coverage in the United States has been generally declining since 2013, and as of 2017, it was at a historic low of 4.7 percent. Therefore, the statement that ""the rate of uninsured children is now rising"" is not accurate based on the available data.",D,health,50000-100000
TRUE,Ann Coulter,"Rhode Islands voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",9/27/2012,television,https://www.politifact.com/factchecks/2012/oct/03/ann-coulter/ann-coulter-says-rhode-islands-voter-identificatio/,error,"I cannot determine the accuracy of the statement without additional context. The statement mentions that the Rhode Island voter identification law was pushed by black Democrats in the House and Senate, but it does not provide any names or further details. It is possible that this is true, but without more information, it is impossible to say for certain. Additionally, the statement was made in 2012, but it does not specify which legislative session or bill the statement is referring to. Therefore, I cannot label this statement as true, false, or any of the other labels without more information.",N,race,50000-100000
mostly-true,Barack Obama,"Barack Obama is ""the only candidate who doesn't take a dime from oil company PACs or lobbyists.""",4/16/2008,advertisement,https://www.politifact.com/factchecks/2008/apr/17/barack-obama/obama-rejects-lobbyist-money/,mostly true,"Based on the given statement and recorded date, it is mostly true.

At the time of the statement, Barack Obama did not accept campaign contributions from oil company PACs or lobbyists, according to Federal Election Commission records. However, it's important to note that Obama did accept donations from individuals who worked in the oil and gas industry, and his campaign did receive some contributions from lobbyists who did not work for oil companies. So while Obama did not take money directly from oil company PACs or lobbyists, he did receive support from individuals and lobbyists with ties to the oil industry.",D,environment,>100000
FALSE,Barack Obama,"Under the White Houses budget proposal, ""we will not be adding more to the national debt"" by the middle of the decade.",2/15/2011,news,https://www.politifact.com/factchecks/2011/feb/15/barack-obama/barack-obama-says-white-house-budget-would-not-add/,mostly false,"Based on the given statement and recorded date, I would label it as ""mostly false."" The White House budget proposal for 2011 did not claim that they would not be adding to the national debt by the middle of the decade without any new borrowing. Instead, they projected that the deficits would decline each year, and the debt would still continue to grow due to interest payments on existing debt. Therefore, the statement is partially accurate but omits important details that would give a different impression.",D,economy,>100000
half-true,Barack Obama,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s.""",5/07/2009,speech,https://www.politifact.com/factchecks/2009/may/07/barack-obama/obama-exaggerates-role-pay-you-go-balancing-federa/,mostly false,"Based on the information provided, this statement is mostly false. While it is true that pay-as-you-go principles were used during the 1990s to help reduce federal deficits, they were not the sole cause of the surpluses. Other factors, such as a strong economy and bipartisan budget agreements, also played significant roles. The statement's emphasis on pay-as-you-go principles as the primary cause of the surpluses is misleading.",D,economy,>100000
mostly-false,Barack Obama,"Says economists Harvey Rosen and Martin Feldstein have said that ""paying for (Mitt) Romneys tax cuts would require large tax increases on families making between $100,000 and $200,000.""",10/07/2012,email,https://www.politifact.com/factchecks/2012/oct/15/barack-obama/barack-obama-says-princeton-economists-analysis-do/,mostly true,"Based on available information, this statement is mostly true. Harvey Rosen and Martin Feldstein have indeed made statements suggesting that paying for Romney's tax cuts would require tax increases on families making between $100,000 and $200,000. However, it's important to note that this is just one possible way to pay for the tax cuts, and other options exist as well. Additionally, the specific tax increases proposed by Romney and the impact on different income groups have been subject to debate and interpretation.",D,economy,>100000
half-true,Barack Obama,"""Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/obama-claims-two-million-more-americans-would-be-u/,mostly false,"Based on the given statement and the recorded date, I would label it as ""mostly false."" The statement implies that specific actions taken by the speaker directly resulted in the employment of 2 million Americans. However, it is not clear which actions the speaker is referring to or what time frame they cover. Additionally, it is unlikely that the employment situation could have changed so dramatically due to actions taken by one person or entity in such a short time. Without more context or specific information, the statement is misleading.",D,economy,>100000
