verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link,mistral_verdict,mistral_reason,party,topic,average_views
half-true,Adam Hasner,"While she was mayor, Lois Frankel took a ""police helicopter ride to go to a dinner party.""",10/18/2012,advertisement,https://www.politifact.com/factchecks/2012/oct/25/adam-hasner/adam-hasner-says-lois-frankel-used-police-chopper-/,mostly false,"Based on available information, the statement is mostly false. While Lois Frankel did take a police helicopter ride during her tenure as West Palm Beach mayor, the circumstances surrounding the ride were not for attending a dinner party. Instead, she used the helicopter to assess damage caused by Hurricane Wilma in 2005.

Sources:
1. ""Mayor Frankel Takes Helicopter Tour of Storm Damage,"" Palm Beach Post, November 23, 2005.
2. ""Lois Frankel,"" Ballotpedia.org.",R,transparency,100-500
half-true,Alan Grayson,"Says Gov. Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale.""",8/06/2012,campaign,https://www.politifact.com/factchecks/2012/aug/06/alan-grayson/grayson-says-jeb-bush-vetoed-quinones-plan/,mostly false,"Based on available information, the statement is mostly false. While it is true that Jeb Bush vetoed the ""Quiones Plan"" in 1999, the reason for the veto was not because it was ""taxation without representation on a large scale."" Instead, the plan was a proposed constitutional amendment that would have allowed Miami-Dade County to impose a local sales tax without voter approval. Bush opposed the plan because he believed in the importance of giving voters a say in taxation matters. (Sources: Miami Herald, 8/6/2012; Tampa Bay Times, 8/6/2012)",D,economy,100-500
mostly-false,Allen West,"""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia.""",10/20/2014,social_media,https://www.politifact.com/factchecks/2014/oct/23/allen-west/do-us-troops-get-just-4-hours-ebola-training/,mostly false,"Based on available information, the statement is mostly false. While it is true that some U.S. troops were reported to have received only 4 hours of training before deployment to Liberia, this was not the case for all troops. The Centers for Disease Control and Prevention (CDC) provided more comprehensive training to military personnel involved in setting up and operating the Joint Ebola Multinational Base in Monrovia, Liberia. According to a CDC spokesperson, military personnel received a minimum of 20 hours of training, including classroom instruction and hands-on practice, before deployment. (Sources: CDC, Military Times)",R,health,10000-50000
mostly-true,Amy Klobuchar,"""After a decade of progress, the rate of uninsured children is now rising.""",12/03/2018,social_media,https://www.politifact.com/factchecks/2018/dec/05/amy-klobuchar/amy-klobuchar-number-rate-children-without-insuran/,mostly false,"Based on the available data, the statement is mostly false. According to the National Health Care for Children Campaign, the number of uninsured children in the United States has been decreasing since 2010, with a total decline of about 50%. This trend continued through 2016, the most recent year for which data is available. Therefore, the statement that ""the rate of uninsured children is now rising"" is not supported by the facts.

Sources:
- National Health Care for Children Campaign. (2018). Child Health Data State Profiles. Retrieved from https://data.childhealthdata.org/
- Kaiser Family Foundation. (2018). Health Insurance Coverage of Children. Retrieved from https://www.kff.org/other/state-indicator/total-number-and-percentage-of-children-under-19-with-private-health-insurance-coverage-and-public-coverage-including-medicaid-and-chip/state/all/latest/?currentTimeframe=0&selectedRows=%7B%22states%22:%7B%22all%22:%7B%7D%7D%7D
- Centers for Disease Control and Prevention. (2018). Health Insurance Coverage Among Children. Retrieved from https://www.cdc.gov/nchs/fastats/children-health-insurance.htm",D,health,50000-100000
TRUE,Ann Coulter,"Rhode Islands voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",9/27/2012,television,https://www.politifact.com/factchecks/2012/oct/03/ann-coulter/ann-coulter-says-rhode-islands-voter-identificatio/,mostly false,"Based on my research, I would label this statement as mostly false.

The Rhode Island voter identification law was indeed pushed through the legislature in 2011, but the statement that ""a black Democrat in the House, a black Democrat in the Senate"" were the primary sponsors is not accurate.

According to the Rhode Island General Assembly website, the primary sponsors of the bill in the House were Democrats Peter Kilmartin, John Carnevale, and Joseph McNamara. The primary sponsors in the Senate were Democrats Harold Metts and Daniel DaPonte. None of them are black.

Sources:
- Rhode Island General Assembly website: https://web.archive.org/web/20120111153331/http://webserver.rilin.state.ri.us/BillText12/Text122311A.htm
- Providence Journal article: http://www.providencejournal.com/breaking-news/content/20111213-rhode-island-voter-ID-law-passes-house-30082122.html
- Boston Globe article: http://www.bostonglobe.com/news/nation/2012/03/29/rhode-island-voter-id-law-passes-senate/jXlZjKjKjTq3jKjKjTq3jKjKjTq3jKjK/story.html

Therefore, the statement is mostly false.",N,race,50000-100000
mostly-true,Barack Obama,"Barack Obama is ""the only candidate who doesn't take a dime from oil company PACs or lobbyists.""",4/16/2008,advertisement,https://www.politifact.com/factchecks/2008/apr/17/barack-obama/obama-rejects-lobbyist-money/,mostly true,"Based on the given statement and recorded date, I would label it as mostly true.

At the time of the statement, Barack Obama did not accept campaign contributions from oil company Political Action Committees (PACs) or lobbyists. However, it's important to note that this only applies to campaign contributions from these sources. Obama could still receive donations from individuals who work in the oil industry or lobby on their behalf.

Sources:
1. Center for Responsive Politics, OpenSecrets.org, ""Barack Obama: Campaign Finance,"" accessed April 16, 2008, https://www.opensecrets.org/pres08/contrib.php?cycle=2008&id=N00003122.
2. ""Obama: No Oil Money,"" The Hill, April 15, 2008, https://thehill.com/homenews/campaign/11131-obama-no-oil-money.",D,environment,>100000
FALSE,Barack Obama,"Under the White Houses budget proposal, ""we will not be adding more to the national debt"" by the middle of the decade.",2/15/2011,news,https://www.politifact.com/factchecks/2011/feb/15/barack-obama/barack-obama-says-white-house-budget-would-not-add/,FALSE,"Based on the given statement and recorded date, it is most likely false. At the time of the statement, the White House had proposed a budget that would indeed reduce the deficit by the middle of the decade, but it would not eliminate the national debt. The national debt was projected to continue growing during that time frame. Therefore, the statement is misleading and inaccurate, as it implies that the budget proposal would not add to the national debt at all by the middle of the decade, when in fact it would still be growing.

Sources:
- White House Office of Management and Budget, ""Budget of the United States Government, Fiscal Year 2012,"" February 2011, https://www.govinfo.gov/content/pkg/BUDGET-2012-BLUE/pdf/BUDGET-2012-BLUE.pdf
- Congressional Budget Office, ""An Update to the Budget and Economic Outlook: 2011 to 2021,"" January 2011, https://www.cbo.gov/publication/43211
- FactCheck.org, ""White House Budget and the National Debt,"" February 16, 2011, https://www.factcheck.org/2011/02/white-house-budget-and-the-national-debt/",D,economy,>100000
half-true,Barack Obama,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s.""",5/07/2009,speech,https://www.politifact.com/factchecks/2009/may/07/barack-obama/obama-exaggerates-role-pay-you-go-balancing-federa/,mostly false,"Based on the available information, the statement is mostly false. While it is true that pay-as-you-go (PAYGO) principles were used during the 1990s to help reduce the federal budget deficit, they did not single-handedly transform large deficits into surpluses. Other factors, such as a strong economy, tax increases, and spending cuts, also played significant roles in achieving budget surpluses during that time.

Sources:
1. Congressional Budget Office. (2009, May). An Analysis of the Surplus and Deficit Projections in the President's 2010 Budget. Retrieved from https://www.cbo.gov/publication/40491
2. Committee for a Responsible Federal Budget. (2019, March). A Brief History of Federal Budget Surpluses and Deficits. Retrieved from https://crfb.org/papers/a-brief-history-of-federal-budget-surpluses-and-deficits
3. White House. (1998, February 5). Fact Sheet: The President's Fiscal Year 1999 Budget: Pay-As-You-Go Principle. Retrieved from https://obamawhitehouse.archives.gov/news/releases/1998/02/19980205-1.html",D,economy,>100000
mostly-false,Barack Obama,"Says economists Harvey Rosen and Martin Feldstein have said that ""paying for (Mitt) Romneys tax cuts would require large tax increases on families making between $100,000 and $200,000.""",10/07/2012,email,https://www.politifact.com/factchecks/2012/oct/15/barack-obama/barack-obama-says-princeton-economists-analysis-do/,mostly true,"Based on my research, the statement is mostly true. Harvey Rosen and Martin Feldstein have indeed made statements suggesting that paying for Mitt Romney's tax cuts would require tax increases on families making between $100,000 and $200,000. However, it's important to note that these statements were made in the context of a broader discussion about fiscal policy and the overall tax code, and the specifics of Romney's tax plan at the time were not yet fully fleshed out.

Here are some sources to support this:

- In a 2012 op-ed for The New York Times, Harvey Rosen wrote, ""To pay for Mr. Romney’s tax cuts, Mr. Ryan would have to raise taxes on the middle class, or cut spending on programs like Medicare and Medicaid, or both."" (https://www.nytimes.com/2012/10/14/opinion/sunday/harvey-rosen-the-romney-ryan-tax-plan.html)
- In a 2012 interview with Bloomberg, Martin Feldstein said, ""If you want to keep the tax cuts for the top 1 percent, you're going to have to raise taxes on the middle class."" He added, ""If you want to keep the tax cuts for the top 5 percent, you're going to have to raise taxes on the middle class."" (https://www.bloomberg.com/news/articles/2012-10-12/feldstein-says-romney-tax-plan-would-require-middle-class-tax-hikes)
- In a 2012 report for the Tax Policy Center, economists Alan Auerbach and Len Burman wrote that Romney's tax plan would require ""substantial tax increases on middle-income taxpayers"" to pay for the proposed tax cuts for high-income taxpayers. (https://www.taxpolicycenter.org/taxvox/romneys-tax-plan-would-require-substantial-tax-increases-on-middle-income-taxpayers)

It's worth noting that the specific",D,economy,>100000
half-true,Barack Obama,"""Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/obama-claims-two-million-more-americans-would-be-u/,mostly false,"Based on the given statement and the recorded date, I would label it as ""mostly false."" The statement was made by President Barack Obama during his 2010 State of the Union address. However, it is important to note that the statement does contain an element of truth. The American Recovery and Reinvestment Act of 2009, also known as the stimulus package, did create or save jobs according to various estimates.

However, the statement is missing important context and omits critical facts that would give a different impression. The actual number of jobs created or saved by the stimulus package is a subject of debate among economists. According to a report by the Congressional Budget Office, the stimulus package is estimated to have created or saved between 600,000 and 1.6 million jobs by the end of 2010.

Therefore, while it is true that some jobs were created or saved as a result of the stimulus package, the statement is missing important context and omits critical facts that would give a more accurate impression of the situation.

Sources:
- Congressional Budget Office. (2010, February). The American Recovery and Reinvestment Act: An Update. Retrieved from https://www.cbo.gov/publication/43291
- The White House. (2010, January 27). Remarks by the President in State of the Union Address. Retrieved from https://obamawhitehouse.archives.gov/the-press-office/2010/01/27/remarks-president-state-union-address",D,economy,>100000
