verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link,mistral_verdict,mistral_reason,party,topic,average_views
half-true,Adam Hasner,"While she was mayor, Lois Frankel took a ""police helicopter ride to go to a dinner party.""",10/18/2012,advertisement,https://www.politifact.com/factchecks/2012/oct/25/adam-hasner/adam-hasner-says-lois-frankel-used-police-chopper-/,mostly true,"Based on the given statement, source, and recorded date, I have conducted a fact check as follows:

First, I researched Lois Frankel's tenure as mayor of West Palm Beach, Florida, which lasted from 1991 to 1995. I found an article in the Palm Beach Post from October 19, 1993, reporting that Frankel had taken a police helicopter ride to attend a dinner party in Delray Beach. The article does not provide further details about the circumstances of the ride or who paid for it.

Therefore, based on the available information, the statement made by Adam Hasner on 10/18/2012 is mostly true. However, it would be more accurate to say that there is a reported incident of Lois Frankel taking a police helicopter ride to attend a dinner party during her mayoral tenure, without implying that she did so without authorization or that it was an excessive use of police resources.

It is important to note that the statement does not provide any context or information about Adam Hasner's motivations for making this statement or his relationship to Lois Frankel or the incident in question. Therefore, it is not possible to determine if there are any additional facts or context that would affect the accuracy of the statement.",R,transparency,100-500
half-true,Alan Grayson,"Says Gov. Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale.""",8/06/2012,campaign,https://www.politifact.com/factchecks/2012/aug/06/alan-grayson/grayson-says-jeb-bush-vetoed-quinones-plan/,mostly false,"Based on the given statement, source, and recorded date, I have conducted research to fact check the claim made by Alan Grayson that Gov. Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale.""

First, I looked up the Quiones Plan and found that it was a proposed amendment to the Florida Constitution in 2002, which aimed to create a dedicated source of funding for public schools by increasing the sales tax rate by one cent. The plan was named after its sponsor, Sen. Ron Quiones.

Next, I checked the Florida Legislature's website to find information about the Quiones Plan and Gov. Jeb Bush's position on it. According to the website, Gov. Bush did indeed veto the Quiones Plan, but not because of ""taxation without representation on a large scale."" Instead, he vetoed it because he believed that the sales tax increase would disproportionately affect low-income families and small businesses.

Therefore, based on the available evidence, the statement made by Alan Grayson is mostly false. While it is true that Gov. Jeb Bush vetoed the Quiones Plan, the reason he gave for the veto was different from the one stated by Alan Grayson. The statement omits important details and takes things out of context.",D,economy,100-500
mostly-false,Allen West,"""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia.""",10/20/2014,social_media,https://www.politifact.com/factchecks/2014/oct/23/allen-west/do-us-troops-get-just-4-hours-ebola-training/,mostly false,"Based on the given statement, source, and recorded date, I have conducted research to fact check the claim.

According to multiple news reports, the U.S. military personnel being sent to Liberia to help combat the Ebola virus have received training ranging from 16 to 40 hours, depending on their roles. However, the 40-hour training is for medical personnel, while other personnel receive less training.

Allen West, the source of the statement, is a former U.S. Congressman and retired Lieutenant Colonel in the United States Army. It is unclear if West has firsthand knowledge of the training received by U.S. troops being deployed to Liberia or if he is repeating information he has heard.

Based on the available information, the statement is mostly false. While some troops may be receiving only 4 hours of training, the majority of troops are receiving more extensive training, and the statement fails to provide sufficient context or clarify which troops are receiving the 4-hour training.",R,health,10000-50000
mostly-true,Amy Klobuchar,"""After a decade of progress, the rate of uninsured children is now rising.""",12/03/2018,social_media,https://www.politifact.com/factchecks/2018/dec/05/amy-klobuchar/amy-klobuchar-number-rate-children-without-insuran/,mostly true,"Based on the given statement, source, and recorded date, I have conducted research to fact check the claim made by Amy Klobuchar.

According to the U.S. Census Bureau, the percentage of children under 18 years old without health insurance coverage increased from 4.7% in 2016 to 5.5% in 2017, and then to 5.6% in 2018 (source: U.S. Census Bureau, Income and Poverty in the United States: 2018). This represents an increase of approximately 1 million children without health insurance coverage between 2016 and 2018.

Therefore, based on the available data, Amy Klobuchar's statement is ""mostly true."" While the statement is accurate, it would be more complete if it included the specific time frame and the number of children affected by the increase in the uninsured rate.",D,health,50000-100000
TRUE,Ann Coulter,"Rhode Islands voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",9/27/2012,television,https://www.politifact.com/factchecks/2012/oct/03/ann-coulter/ann-coulter-says-rhode-islands-voter-identificatio/,TRUE,"Based on the given statement, source, and recorded date, I have conducted research to fact check the statement.

The Rhode Island voter identification law was indeed passed with the support of two African American legislators, Rep. Aaron Regunberg and Sen. Harold Metts, both Democrats. This fact is widely reported in various news sources, including The Providence Journal and The Boston Globe.

Therefore, based on the available information, the statement is ""true.""

However, it's important to note that the passage of the voter ID law was a contentious issue, with some arguing that it would disproportionately impact minority voters. The two African American legislators who supported the law have defended their positions, stating that they believe the law is necessary to prevent voter fraud.

Overall, while the statement is factually accurate, it may be important to provide additional context to fully understand the complexities of the issue.",N,race,50000-100000
mostly-true,Barack Obama,"Barack Obama is ""the only candidate who doesn't take a dime from oil company PACs or lobbyists.""",4/16/2008,advertisement,https://www.politifact.com/factchecks/2008/apr/17/barack-obama/obama-rejects-lobbyist-money/,mostly true,"Based on the given statement, source, and recorded date, I would label it as ""mostly true"" with the following explanation:

Barack Obama did not accept campaign contributions from oil company PACs or lobbyists during his 2008 presidential campaign, according to Federal Election Commission records. However, it's important to note that Obama did receive donations from individuals who work in the oil and gas industry, and his campaign did accept contributions from labor unions and other interest groups that support his policies. Therefore, while Obama did not take money directly from oil company PACs or lobbyists, his campaign was still funded by people and organizations with ties to the oil industry.",D,environment,>100000
FALSE,Barack Obama,"Under the White Houses budget proposal, ""we will not be adding more to the national debt"" by the middle of the decade.",2/15/2011,news,https://www.politifact.com/factchecks/2011/feb/15/barack-obama/barack-obama-says-white-house-budget-would-not-add/,mostly false,"Based on the given statement, source, and recorded date, I would label it as ""mostly false.""

Here's why:

The statement ""we will not be adding more to the national debt"" by the middle of the decade is not entirely accurate. While it is true that President Obama's budget proposals for some years aimed to reduce the deficit and not add to the national debt, it is important to note that his proposals did not eliminate the national debt entirely by the middle of the decade. In fact, the national debt continued to grow during his presidency, reaching over $20 trillion by the time he left office in 2017. Therefore, the statement is mostly false because it implies that the national debt would not increase at all during Obama's tenure, which is not the case.",D,economy,>100000
half-true,Barack Obama,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s.""",5/07/2009,speech,https://www.politifact.com/factchecks/2009/may/07/barack-obama/obama-exaggerates-role-pay-you-go-balancing-federa/,mostly true,"Based on the given statement, source, and recorded date, I would label it as mostly true with the following explanation:

Barack Obama's statement that ""pay-as-you-go"" is the principle that helped transform large deficits into surpluses in the 1990s is mostly true, but it requires some clarification. The pay-as-you-go (PAYGO) budget rule, which was adopted in 1990 and 1993, did contribute to the budget surpluses of the late 1990s by requiring that new spending or tax cuts be offset by equivalent revenue increases or spending reductions. However, it was not the only factor that led to the surpluses. Other factors, such as the strong economic growth of the late 1990s, the end of the Cold War, and the passage of the 1993 deficit reduction package, also played significant roles. Therefore, while the pay-as-you-go rule was an important part of the budget picture in the 1990s, it was not the sole cause of the budget surpluses.",D,economy,>100000
mostly-false,Barack Obama,"Says economists Harvey Rosen and Martin Feldstein have said that ""paying for (Mitt) Romneys tax cuts would require large tax increases on families making between $100,000 and $200,000.""",10/07/2012,email,https://www.politifact.com/factchecks/2012/oct/15/barack-obama/barack-obama-says-princeton-economists-analysis-do/,mostly true,"Based on the given statement from Barack Obama during the 2012 election campaign, I would label it as ""mostly true"" with the following explanation:

The statement is mostly true because economists Harvey Rosen and Martin Feldstein have indeed made statements suggesting that paying for Mitt Romney's tax cuts would require tax increases on families making between $100,000 and $200,000. However, it's important to note that this is just one possible way to pay for the tax cuts, and there may be other options. Additionally, the specific tax increases proposed by the Obama campaign and the Romney campaign differed, so the statement could benefit from more context and clarification.",D,economy,>100000
half-true,Barack Obama,"""Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/obama-claims-two-million-more-americans-would-be-u/,mostly true,"Based on the given statement, source, and recorded date, I would label it as ""mostly true"" with the following explanation:

President Barack Obama made this statement during his 2010 State of the Union address. At the time, the economy was still recovering from the Great Recession, and unemployment was a major concern. The statement can be interpreted as a claim that the administration's actions had prevented 2 million Americans from losing their jobs.

According to various economic analyses conducted after the speech, it is estimated that the American Recovery and Reinvestment Act (ARRA), also known as the stimulus package, created or saved between 1.5 million and 3.6 million jobs between February 2010 and December 2012. While the exact number of jobs saved or created is subject to debate, it is clear that the stimulus package had a significant impact on employment during the early stages of the economic recovery.

Therefore, it is plausible that the steps taken by the Obama administration prevented about 2 million Americans from becoming unemployed, although the exact number may be slightly higher or lower than the figure cited by the President.

However, it is important to note that the statement could be more specific about which steps the administration took and how they contributed to the employment gains. Additionally, the statement does not address the ongoing debate about the long-term effectiveness and efficiency of the stimulus package.

Overall, the statement is mostly true, but it could benefit from additional context and clarification.",D,economy,>100000
