verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link,mistral_verdict,mistral_reason,party,topic,average_views
half-true,Adam Hasner,"While she was mayor, Lois Frankel took a ""police helicopter ride to go to a dinner party.""",10/18/2012,advertisement,https://www.politifact.com/factchecks/2012/oct/25/adam-hasner/adam-hasner-says-lois-frankel-used-police-chopper-/,mostly false,".

Based on the available information, the statement ""While she was mayor, Lois Frankel took a 'police helicopter ride to go to a dinner party'"" is mostly false.

There is no credible evidence to support the claim that Lois Frankel took a police helicopter ride to attend a dinner party while she was mayor. The statement is based on an anonymous source quoted in a blog post, which does not provide any factual evidence or context to support the claim. Additionally, there is no mention of this incident in any reputable news sources or official records.

Therefore, the statement is mostly false.",R,transparency,100-500
half-true,Alan Grayson,"Says Gov. Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale.""",8/06/2012,campaign,https://www.politifact.com/factchecks/2012/aug/06/alan-grayson/grayson-says-jeb-bush-vetoed-quinones-plan/,mostly true,".

Regarding the statement ""Says Gov. Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale,"""" I would label it as mostly true.

Governor Jeb Bush did indeed veto the ""Quiones Plan"" in 1999, and one of the reasons he gave for the veto was that it would result in ""taxation without representation"" for certain Floridians. However, it's important to note that this was not the only reason for the veto, and the statement could benefit from additional context.

The ""Quiones Plan"" was a proposed constitutional amendment that would have allowed Miami-Dade County to impose a local sales tax to fund transportation projects. The amendment would have required a two-thirds vote in the Florida Legislature to be placed on the ballot, which meant that rural areas of the state would have had no representation in the decision-making process. Bush argued that this was an unfair burden on rural Floridians and violated the principle of ""one man, one vote.""

Therefore, while the statement is mostly true, it could be made more accurate by adding that Bush also objected to the lack of representation for rural Floridians in the decision-making process.",D,economy,100-500
mostly-false,Allen West,"""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia.""",10/20/2014,social_media,https://www.politifact.com/factchecks/2014/oct/23/allen-west/do-us-troops-get-just-4-hours-ebola-training/,mostly false,".

Based on the available information, the statement ""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia"" is mostly false.

According to the U.S. military, soldiers deploying to West Africa for Ebola response efforts received a minimum of 20 hours of training, including classroom instruction and hands-on practice. This training covered topics such as infection control, personal protective equipment use, and patient care. The misconception may have arisen from initial reports of shorter training durations, but the military later clarified that the training had been extended.",R,health,10000-50000
mostly-true,Amy Klobuchar,"""After a decade of progress, the rate of uninsured children is now rising.""",12/03/2018,social_media,https://www.politifact.com/factchecks/2018/dec/05/amy-klobuchar/amy-klobuchar-number-rate-children-without-insuran/,mostly false,".

Based on the given statement and the recorded date, I would label it as ""mostly false."" While it's true that the rate of uninsured children has been a topic of concern in recent years, the most recent data available at the time of the statement (December 2018) actually showed a decrease in the number of uninsured children compared to the previous year. The statement is misleading because it implies that the trend is moving in the opposite direction, which is not supported by the available data.",D,health,50000-100000
TRUE,Ann Coulter,"Rhode Islands voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",9/27/2012,television,https://www.politifact.com/factchecks/2012/oct/03/ann-coulter/ann-coulter-says-rhode-islands-voter-identificatio/,mostly false,".

Regarding the statement ""Rhode Islands voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact,""""

This statement is mostly false.

While it is true that there were black Democrats in the Rhode Island legislature who supported the voter identification law, it is not accurate to say that they were the sole or primary drivers of the legislation. The bill was introduced by a white Republican, Rep. Robert Nardolillo, and passed both houses of the legislature with bipartisan support. The statement omits this important context and gives a misleading impression of the role of the black Democrats in the passage of the law.",N,race,50000-100000
mostly-true,Barack Obama,"Barack Obama is ""the only candidate who doesn't take a dime from oil company PACs or lobbyists.""",4/16/2008,advertisement,https://www.politifact.com/factchecks/2008/apr/17/barack-obama/obama-rejects-lobbyist-money/,mostly true,".

Based on the given statement and recorded date, the label would be:

mostly true:

Barack Obama did not accept campaign contributions from oil company PACs or lobbyists during his 2008 presidential campaign. However, it's important to note that this only applies to the campaign finance cycle covered by the statement, and not to his entire political career or potential future campaigns. Additionally, accepting donations from individuals who work in the oil industry or who are not officially registered as lobbyists is not addressed in the statement.",D,environment,>100000
FALSE,Barack Obama,"Under the White Houses budget proposal, ""we will not be adding more to the national debt"" by the middle of the decade.",2/15/2011,news,https://www.politifact.com/factchecks/2011/feb/15/barack-obama/barack-obama-says-white-house-budget-would-not-add/,half true,".

Based on the given statement and recorded date, the label would be: half true.

Explanation:
The statement made by the White House in 2011 proposed that they would not be adding more to the national debt by the middle of the decade. However, it is important to note that this statement does not mean that the national debt would be decreasing or even staying the same. It only means that the rate of increase would be halted. Additionally, this statement was made during the Obama administration, and the national debt did continue to increase throughout the decade. Therefore, the statement is partially accurate but omits important details, making it half true.",D,economy,>100000
half-true,Barack Obama,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s.""",5/07/2009,speech,https://www.politifact.com/factchecks/2009/may/07/barack-obama/obama-exaggerates-role-pay-you-go-balancing-federa/,mostly true,".

Based on the given statement and the recorded date, the label would be: mostly true.

Explanation:
The statement is mostly true, but it requires some clarification. The ""pay-as-you-go"" principle did contribute to the reduction of large deficits and the achievement of surpluses in the U.S. budget during the 1990s. However, it was just one of several factors that played a role in this outcome. Other factors included a strong economy, revenue growth, and spending restraint. Therefore, while the statement is mostly true, it is important to note that it is an oversimplification to attribute the entire transformation to the ""pay-as-you-go"" principle alone.",D,economy,>100000
mostly-false,Barack Obama,"Says economists Harvey Rosen and Martin Feldstein have said that ""paying for (Mitt) Romneys tax cuts would require large tax increases on families making between $100,000 and $200,000.""",10/07/2012,email,https://www.politifact.com/factchecks/2012/oct/15/barack-obama/barack-obama-says-princeton-economists-analysis-do/,mostly true,".

Based on the given statement, I would label it as mostly true. The statement is accurate in that economists Harvey Rosen and Martin Feldstein have indeed made statements about the potential tax increases required to pay for Mitt Romney's tax cuts. However, it is important to note that the statement does not provide specific context or quotes from these economists, and it does not clarify which tax plan specifically they are referring to. Therefore, some clarification or additional information would be necessary for a complete and accurate assessment of the statement.",D,economy,>100000
half-true,Barack Obama,"""Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/obama-claims-two-million-more-americans-would-be-u/,mostly true,".

Based on the given statement and recorded date, I would label it as ""mostly true"" with the following explanation:

The statement made by an unidentified speaker on 1/27/2010 implies that certain actions taken by the government have prevented 2 million Americans from being unemployed. While it is difficult to definitively verify the exact number without additional context, there is evidence that the American Recovery and Reinvestment Act of 2009, also known as the stimulus package, did help to create or save jobs during the Great Recession. According to a report by the Congressional Budget Office, the stimulus package is estimated to have kept the unemployment rate from peaking at 10.1% instead of 11.1% between 2009 and 2012. This translates to approximately 3.3 million jobs saved or created, which is more than the 2 million mentioned in the statement. However, it is important to note that the statement does not specify which actions or policies the speaker is referring to, and it is possible that other factors contributed to the employment situation as well. Therefore, the statement is mostly true, but it lacks the necessary context and precision to be considered entirely accurate.",D,economy,>100000
