verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link,mistral_verdict,mistral_reason,party,topic,average_views
half-true,Adam Hasner,"While she was mayor, Lois Frankel took a ""police helicopter ride to go to a dinner party.""",10/18/2012,advertisement,https://www.politifact.com/factchecks/2012/oct/25/adam-hasner/adam-hasner-says-lois-frankel-used-police-chopper-/,half true,"Based on the given statement, source, and recorded date, I would label it as ""half true."" The statement is partially accurate, but it omits important details. According to news reports, Lois Frankel did take a police helicopter ride in 2000, but it was not to go to a dinner party. Instead, she took the ride to assess damage caused by Hurricane Wilma. Therefore, while the statement is accurate in that Lois Frankel did take a police helicopter ride, it is misleading in suggesting that she did so for the purpose of attending a dinner party.",R,transparency,100-500
half-true,Alan Grayson,"Says Gov. Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale.""",8/06/2012,campaign,https://www.politifact.com/factchecks/2012/aug/06/alan-grayson/grayson-says-jeb-bush-vetoed-quinones-plan/,mostly false,"Based on the given statement, source, and date, I would label it as ""mostly false."" While it is true that Jeb Bush did veto the ""Quiones Plan"" in 2001, the reason for his veto had nothing to do with ""taxation without representation on a large scale."" Instead, the plan was vetoed because it would have allowed undocumented immigrants to pay in-state tuition at Florida universities. Bush argued that this would be unfair to Florida taxpayers and that the issue should be addressed at the federal level. Therefore, Alan Grayson's statement is misleading and omits important context.",D,economy,100-500
mostly-false,Allen West,"""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia.""",10/20/2014,social_media,https://www.politifact.com/factchecks/2014/oct/23/allen-west/do-us-troops-get-just-4-hours-ebola-training/,half true,"Based on the given statement, source, and date, I would label it as ""half true."" The statement is partially accurate, but it omits important details. According to reports, U.S. troops deployed to Liberia for the Ebola response received a minimum of 56 hours of training before departure, not just 4 hours as stated by Allen West. However, some troops may have received additional training upon arrival in Liberia. Therefore, while the statement that troops received only 4 hours of training is not entirely accurate, it is not entirely false either, as some troops may have received less than the reported minimum of 56 hours. It is important to note that the statement is missing critical information, and the actual training hours received by all troops varied.",R,health,10000-50000
mostly-true,Amy Klobuchar,"""After a decade of progress, the rate of uninsured children is now rising.""",12/03/2018,social_media,https://www.politifact.com/factchecks/2018/dec/05/amy-klobuchar/amy-klobuchar-number-rate-children-without-insuran/,mostly false,"Based on the given statement, source, and date, I would label it as ""mostly false."" While it is true that the rate of uninsured children has been rising in recent years, Amy Klobuchar's statement is misleading because it implies that this trend has been ongoing for a decade, which is not the case. According to data from the U.S. Census Bureau and the National Health Interview Survey, the number of uninsured children began to increase in 2016 after several years of decline. Therefore, while the statement contains an element of truth, it ignores critical facts that would give a different impression.",D,health,50000-100000
TRUE,Ann Coulter,"Rhode Islands voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",9/27/2012,television,https://www.politifact.com/factchecks/2012/oct/03/ann-coulter/ann-coulter-says-rhode-islands-voter-identificatio/,half true,"Based on the given statement, label it accordingly.

Label: half true

Explanation:

The statement that ""Rhode Island's voter identification law was pushed by a black Democrat in the House, a black Democrat in the Senate"" is partially accurate but omits important details. The statement is true in the sense that there were indeed black Democrats who supported the voter ID law in Rhode Island. However, it is misleading because it implies that these black Democrats were the sole or primary drivers of the law, when in fact there were also white Democrats and Republicans who supported it. Additionally, the statement does not provide any specific names or context about the role these black Democrats played in the legislative process. Therefore, the statement is labeled as ""half true.""",N,race,50000-100000
mostly-true,Barack Obama,"Barack Obama is ""the only candidate who doesn't take a dime from oil company PACs or lobbyists.""",4/16/2008,advertisement,https://www.politifact.com/factchecks/2008/apr/17/barack-obama/obama-rejects-lobbyist-money/,mostly true,"Based on the given statement, source, and date, the label would be:
mostly true:

Barack Obama did not accept campaign donations from oil company PACs or lobbyists during his 2008 presidential campaign. However, it's important to note that this statement only applies to his 2008 campaign and does not cover his entire political career or future campaigns. Additionally, accepting donations from individuals who work in the oil industry or lobbying firms is not included in this statement.",D,environment,>100000
FALSE,Barack Obama,"Under the White Houses budget proposal, ""we will not be adding more to the national debt"" by the middle of the decade.",2/15/2011,news,https://www.politifact.com/factchecks/2011/feb/15/barack-obama/barack-obama-says-white-house-budget-would-not-add/,mostly false,"Based on the given statement, source, and date, the label would be: mostly false.

Explanation:
The statement made by Barack Obama on 2/15/2011 that ""we will not be adding more to the national debt"" by the middle of the decade is mostly false. At that time, the White House proposed a budget that would indeed reduce the deficit by 2015, but it would not eliminate the national debt. The national debt continued to grow throughout Obama's presidency and beyond. The statement is misleading because it implies that the national debt would be paid off by the middle of the decade, which was not the case.",D,economy,>100000
half-true,Barack Obama,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s.""",5/07/2009,speech,https://www.politifact.com/factchecks/2009/may/07/barack-obama/obama-exaggerates-role-pay-you-go-balancing-federa/,mostly true,"Based on the given statement, source, and date, I would label it as mostly true.

The statement is accurate in the sense that pay-as-you-go principles were used during the 1990s to help reduce federal deficits and turn them into surpluses. However, it needs clarification that this was just one of the factors contributing to the budget surpluses, and that other factors such as economic growth and spending cuts also played a significant role.

Therefore, the statement is mostly true but needs clarification that pay-as-you-go was not the only factor that led to budget surpluses in the 1990s.",D,economy,>100000
mostly-false,Barack Obama,"Says economists Harvey Rosen and Martin Feldstein have said that ""paying for (Mitt) Romneys tax cuts would require large tax increases on families making between $100,000 and $200,000.""",10/07/2012,email,https://www.politifact.com/factchecks/2012/oct/15/barack-obama/barack-obama-says-princeton-economists-analysis-do/,mostly true,"Based on the given statement, I would label it as ""mostly true"" with the following explanation:

Barack Obama's statement that economists Harvey Rosen and Martin Feldstein have said that ""paying for Romney's tax cuts would require large tax increases on families making between $100,000 and $200,000"" is mostly true. However, it needs some clarification.

Harvey Rosen and Martin Feldstein did indeed make such a statement in a 2012 op-ed in The New York Times. They wrote that ""Mr. Romney's tax plan would cost about $5 trillion over a decade, and the revenue shortfall would have to be made up by either cutting spending or raising taxes."" They went on to say that ""the largest tax increases would fall on families making between $100,000 and $200,000.""

However, it's important to note that the economists did not explicitly say that these tax increases would be the only way to pay for Romney's tax cuts. They also suggested that spending cuts could be part of the solution.

Therefore, while Obama's statement is mostly true, it could be more accurate if it acknowledged that spending cuts could also be part of the equation.",D,economy,>100000
half-true,Barack Obama,"""Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/obama-claims-two-million-more-americans-would-be-u/,mostly true,"Based on the given statement, I would label it as ""mostly true"" with the following explanation:

Barack Obama made the statement on January 27, 2010, during a speech about the American Recovery and Reinvestment Act, also known as the stimulus package. The statement was made in the context of discussing the impact of the stimulus on employment.

According to the Congressional Budget Office (CBO), the American Recovery and Reinvestment Act is estimated to have increased employment by between 1.4 million and 3.3 million through the end of 2010. While the exact number of jobs saved or created is a matter of debate, it is widely accepted that the stimulus package had a positive impact on employment during the Great Recession.

Therefore, it is reasonable to conclude that because of the steps taken in the stimulus package, there were about 2 million Americans working who might have otherwise been unemployed. However, it is important to note that this is an estimate and that the actual number could be higher or lower. Additionally, it is worth mentioning that the stimulus package was not the only factor contributing to the employment recovery during this time period. Other factors, such as the natural recovery of the economy and monetary policy, also played a role.

Therefore, the statement is mostly true, but it is important to note that the exact number of jobs saved or created is a matter of debate and that other factors also contributed to the employment recovery during this time period.",D,economy,>100000
mostly-true,Barack Obama,"""For the first time in history, my administration posts our White House visitors online.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/white-house-visitor-logs-voluntarily-released-pote/,TRUE,"Based on the given statement, label it accordingly.

The statement made by Barack Obama on 1/27/2010 that ""For the first time in history, my administration posts our White House visitors online"" is true. The Obama administration did indeed begin posting White House visitor logs online in January 2009, making it the first administration to do so. This was a departure from previous administrations, which kept the logs private. Therefore, the statement is accurate and no significant information is missing.",D,transparency,>100000
TRUE,Barack Obama,"""Mitt Romney says class sizes dont matter.""",8/22/2012,campaign,https://www.politifact.com/factchecks/2012/aug/23/barack-obama/obama-ad-says-class-sizes-dont-matter-romney/,half true,"Based on the given statement, source, and date, I would label it as ""half true.""

Mitt Romney did make comments about class size not being the only factor in education, but he did not explicitly say that class sizes do not matter at all. The full context of Romney's statement was that while class size is important, other factors such as teacher quality and curriculum are equally important in improving education outcomes.

Barack Obama's statement is partially accurate, but it takes Romney's comments out of context by implying that Romney does not care about class sizes at all.",D,economy,>100000
mostly-false,Barack Obama,"Keystone XL allows ""Canada to pump their oil, send it through our land, down to the Gulf, where it will be sold everywhere else.""",11/14/2014,news,https://www.politifact.com/factchecks/2014/nov/20/barack-obama/obama-says-keystone-xl-exporting-oil-experts-disag/,half true,"Based on the given statement, source, and date, the label would be: half true.

Explanation:
The statement made by Barack Obama on 11/14/2014 is half true. The Keystone XL pipeline does indeed allow Canada to transport their oil through the United States, but it is not solely for export. A significant portion of the oil transported through the pipeline is intended for domestic consumption in the United States. Therefore, the statement is partially accurate but omits important details.",D,economy,>100000
