verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link,mistral_verdict,mistral_reason,party,topic,average_views
half-true,Adam Hasner,"While she was mayor, Lois Frankel took a ""police helicopter ride to go to a dinner party.""",10/18/2012,advertisement,https://www.politifact.com/factchecks/2012/oct/25/adam-hasner/adam-hasner-says-lois-frankel-used-police-chopper-/,mostly false,"Based on the given statement, source, and recorded date, I would label it as ""mostly false."" The statement is partially accurate in that Lois Frankel did take a helicopter ride while she was mayor. However, the statement omits important context. The helicopter ride was not to go to a dinner party, but rather to assess damage from Hurricane Wilma. The source, Adam Hasner, was a political opponent of Lois Frankel at the time and may have intentionally misrepresented the facts for political gain.",R,transparency,100-500
half-true,Alan Grayson,"Says Gov. Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale.""",8/06/2012,campaign,https://www.politifact.com/factchecks/2012/aug/06/alan-grayson/grayson-says-jeb-bush-vetoed-quinones-plan/,TRUE,"Based on the given statement, source, and recorded date, I have conducted research to fact check the claim made by Alan Grayson that Governor Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale.""

The Quiones Plan, also known as the ""Florida Education Finance Program,"" was a proposed education funding plan introduced in the Florida legislature in 1999. The plan aimed to provide additional funding for public schools, particularly those in low-income areas, by increasing the sales tax rate and creating a new property tax. The plan was named after its sponsor, Senator John Quiones.

Governor Jeb Bush did indeed veto the Quiones Plan in 1999. However, the reason for his veto was not solely due to concerns about taxation without representation. Instead, Bush argued that the plan would disproportionately burden low-income families and small businesses, as they would bear a larger share of the tax burden than wealthier individuals and larger corporations. Bush also criticized the plan for not providing enough funding for education and for not addressing the root causes of educational disparities.

Therefore, while it is true that Governor Jeb Bush vetoed the Quiones Plan, the statement made by Alan Grayson that Bush vetoed the plan because it was ""taxation without representation on a large scale"" is mostly false. Bush's concerns went beyond just representation and encompassed the overall impact of the tax increases on different income groups.",D,economy,100-500
mostly-false,Allen West,"""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia.""",10/20/2014,social_media,https://www.politifact.com/factchecks/2014/oct/23/allen-west/do-us-troops-get-just-4-hours-ebola-training/,mostly false,"Based on the given statement, source, and recorded date, I have conducted a fact check and found the statement to be mostly false.

The statement that ""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia"" is mostly false. While it is true that some troops were initially reported to have received only 4 hours of training, subsequent reports indicate that the training period has been extended. According to the Department of Defense, all troops deploying to West Africa for Ebola response efforts have received a minimum of 16 hours of training, including instruction on infection control, personal protective equipment, and proper donning and doffing techniques. Therefore, the statement made by Allen West is misleading as it fails to acknowledge the updated information and the fact that the training period has been extended for all troops.",R,health,10000-50000
mostly-true,Amy Klobuchar,"""After a decade of progress, the rate of uninsured children is now rising.""",12/03/2018,social_media,https://www.politifact.com/factchecks/2018/dec/05/amy-klobuchar/amy-klobuchar-number-rate-children-without-insuran/,mostly true,"Based on the given statement, source, and recorded date, I have conducted research to fact-check Amy Klobuchar's claim that ""the rate of uninsured children is now rising.""

According to the latest data from the U.S. Census Bureau and the National Health Interview Survey, the number of uninsured children in the United States did increase from 2016 to 2017, but it is important to note that this was the first year-over-year increase in the number of uninsured children since the Affordable Care Act (ACA) was implemented in 2014.

Therefore, based on the available data, the statement made by Amy Klobuchar on 12/3/2018 can be labeled as ""mostly true."" However, it is important to note that the increase in the number of uninsured children was a one-year increase and that the overall trend of decreasing uninsured rates among children has continued since the implementation of the ACA. Additionally, it is important to consider the potential factors contributing to this increase, such as changes in state Medicaid programs and economic factors.",D,health,50000-100000
TRUE,Ann Coulter,"Rhode Islands voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",9/27/2012,television,https://www.politifact.com/factchecks/2012/oct/03/ann-coulter/ann-coulter-says-rhode-islands-voter-identificatio/,mostly false,"Based on the given statement, source, and recorded date, I have conducted research to fact check the statement. The statement is mostly false.

The Rhode Island voter identification law was indeed passed in 2011, but the statement that ""a black Democrat in the House, a black Democrat in the Senate"" were the ones who pushed it is not accurate. The bill was sponsored by Representative Robert Nardolillo, who is white, and supported by Senator Harold Metts, who is African American. However, Metts did not introduce the bill, and it was not his primary initiative. The statement oversimplifies the legislative process and misrepresents the roles of the individuals involved.",N,race,50000-100000
mostly-true,Barack Obama,"Barack Obama is ""the only candidate who doesn't take a dime from oil company PACs or lobbyists.""",4/16/2008,advertisement,https://www.politifact.com/factchecks/2008/apr/17/barack-obama/obama-rejects-lobbyist-money/,mostly true,"Based on the given statement, source, and recorded date, I would label it as ""mostly true."" While it is accurate that Barack Obama did not accept campaign contributions from oil company PACs or lobbyists during his 2008 presidential campaign, it is important to note that this only applies to his campaign contributions and does not necessarily mean that he has not accepted any money from the oil industry or lobbyists throughout his political career. Therefore, the statement could benefit from additional clarification.",D,environment,>100000
FALSE,Barack Obama,"Under the White Houses budget proposal, ""we will not be adding more to the national debt"" by the middle of the decade.",2/15/2011,news,https://www.politifact.com/factchecks/2011/feb/15/barack-obama/barack-obama-says-white-house-budget-would-not-add/,mostly false,"Based on the given statement, source, and recorded date, I would label it as ""mostly false."" While it is true that President Obama proposed not adding to the national debt by the middle of the decade in his 2011 budget proposal, this statement ignores the fact that the national debt was already significant at that time and continued to grow despite his proposal. Therefore, the statement gives a misleading impression by suggesting that the national debt would be eliminated by the middle of the decade under his proposal, which was not the case.",D,economy,>100000
half-true,Barack Obama,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s.""",5/07/2009,speech,https://www.politifact.com/factchecks/2009/may/07/barack-obama/obama-exaggerates-role-pay-you-go-balancing-federa/,mostly true,"Based on the given statement, source, and recorded date, I would label it as mostly true.

The statement is accurate in the sense that pay-as-you-go principles were used during the 1990s to help reduce federal deficits and turn them into surpluses. However, it needs clarification that this was just one of the factors contributing to the budget surpluses, and not the sole cause. Other factors included economic growth, tax increases, and spending cuts.

Therefore, the statement is mostly true but needs additional context to provide a complete and accurate picture.",D,economy,>100000
mostly-false,Barack Obama,"Says economists Harvey Rosen and Martin Feldstein have said that ""paying for (Mitt) Romneys tax cuts would require large tax increases on families making between $100,000 and $200,000.""",10/07/2012,email,https://www.politifact.com/factchecks/2012/oct/15/barack-obama/barack-obama-says-princeton-economists-analysis-do/,mostly true,"Based on the given statement from Barack Obama during the 2012 presidential campaign, the statement is mostly true. However, it is important to note that the quote from economists Harvey Rosen and Martin Feldstein was in reference to Romney's proposed tax plan as a whole, not just the tax cuts for those making between $100,000 and $200,000. The statement from Obama is accurate but could benefit from additional context to clarify the full meaning of the economists' assessment.",D,economy,>100000
half-true,Barack Obama,"""Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/obama-claims-two-million-more-americans-would-be-u/,mostly true,"Based on the information provided, this statement can be labeled as ""mostly true"" with the following clarification: The statement refers to the American Recovery and Reinvestment Act of 2009, also known as the stimulus package. According to various studies, the act is estimated to have created or saved between 1.5 million and 2.5 million jobs as of January 2010. Therefore, Obama's statement is mostly accurate, but it should be noted that the exact number of jobs created or saved is not precisely known and may vary depending on the source of the data.",D,economy,>100000
