verdict,politician_name,statement,statement_date,statement_source,factcheck_analysis_link
half-true,Adam Hasner,"While she was mayor, Lois Frankel took a ""police helicopter ride to go to a dinner party.""",10/18/2012,advertisement,https://www.politifact.com/factchecks/2012/oct/25/adam-hasner/adam-hasner-says-lois-frankel-used-police-chopper-/
half-true,Alan Grayson,"Says Gov. Jeb Bush vetoed the ""Quiones Plan"" because it was ""taxation without representation on a large scale.""",8/6/2012,campaign,https://www.politifact.com/factchecks/2012/aug/06/alan-grayson/grayson-says-jeb-bush-vetoed-quinones-plan/
mostly-false,Allen West,"""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia.""",10/20/2014,social_media,https://www.politifact.com/factchecks/2014/oct/23/allen-west/do-us-troops-get-just-4-hours-ebola-training/
mostly-true,Amy Klobuchar,"""After a decade of progress, the rate of uninsured children is now rising.""",12/3/2018,social_media,https://www.politifact.com/factchecks/2018/dec/05/amy-klobuchar/amy-klobuchar-number-rate-children-without-insuran/
true,Ann Coulter,"Rhode Islands voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",9/27/2012,television,https://www.politifact.com/factchecks/2012/oct/03/ann-coulter/ann-coulter-says-rhode-islands-voter-identificatio/
mostly-true,Barack Obama,"Barack Obama is ""the only candidate who doesn't take a dime from oil company PACs or lobbyists.""",4/16/2008,advertisement,https://www.politifact.com/factchecks/2008/apr/17/barack-obama/obama-rejects-lobbyist-money/
false,Barack Obama,"Under the White Houses budget proposal, ""we will not be adding more to the national debt"" by the middle of the decade.",2/15/2011,news,https://www.politifact.com/factchecks/2011/feb/15/barack-obama/barack-obama-says-white-house-budget-would-not-add/
half-true,Barack Obama,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s.""",5/7/2009,speech,https://www.politifact.com/factchecks/2009/may/07/barack-obama/obama-exaggerates-role-pay-you-go-balancing-federa/
mostly-false,Barack Obama,"Says economists Harvey Rosen and Martin Feldstein have said that ""paying for (Mitt) Romneys tax cuts would require large tax increases on families making between $100,000 and $200,000.""",10/7/2012,email,https://www.politifact.com/factchecks/2012/oct/15/barack-obama/barack-obama-says-princeton-economists-analysis-do/
half-true,Barack Obama,"""Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.""",1/27/2010,speech,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/obama-claims-two-million-more-americans-would-be-u/
